,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
2001,1,-0.26,-1.16,0.17,-2.22,-0.31,0.28,-1.72,-1.4,-0.5,0.99,-0.65,-0.52,-0.95
2001,2,0.14,0.19,-0.29,-1.12,-0.24,0.5,-0.74,0.39,-0.24,-0.75,-0.04,-0.48,-0.34
2001,3,-0.45,0.37,-0.89,-0.17,-0.94,-0.53,0.37,0.75,1.08,0.19,-1.05,-0.02,0.23
2001,4,-1.78,-0.91,-1.37,-0.23,-0.11,1.06,-1.49,-1.4,1.02,0.57,-1.25,-0.01,-0.26
2002,1,-0.48,-0.7,-1.46,-0.17,-1.37,-0.05,-1.4,-0.18,0.2,0.1,-1,-0.44,-0.63
2002,2,1.82,-0.27,0.55,-0.23,-0.59,0.61,-1.11,0.3,-0.36,-1.47,-1.8,-0.79,-0.73
2002,3,0.3,0.31,-0.81,-1.43,-0.15,0.1,0.04,0.28,-0.76,0.33,-2.98,-0.85,-0.73
2002,4,0.83,-1.49,0.63,-1.43,1.48,-0.87,-0.46,-1.68,2.03,0.49,0.47,0.84,0.39
2003,1,0.42,-0.81,0.35,0.82,-0.16,-1.5,-0.65,-0.32,0.1,0.06,0.03,0.11,-0.18
2003,2,-0.02,0.56,-0.33,0.64,0.79,-0.19,0.46,0.97,1.19,-1.73,0.57,0.24,0.44
2003,3,0.95,-1.26,1.03,-1.96,1.37,0.76,-1.83,-0.75,1.98,-1.03,-1.58,0.06,-0.73
2003,4,0.89,1.94,1.83,-0.51,1.18,1.69,0.12,1.79,0.36,0.13,-1.2,0.37,0.92
2004,1,-0.2,0.28,0.8,0.19,-0.04,0.93,-0.28,-0.26,-0.44,0.45,-0.07,0.01,0.17
2004,2,0.38,0.18,-0.07,-0.71,-0.28,1.13,-0.12,-0.46,-0.72,1.05,-0.23,0.23,0.3
2004,3,-1.37,-0.53,0.86,1.17,-0.5,0.31,-0.48,-0.05,1.2,2.23,-0.47,1.76,1.68
2004,4,1.54,0.54,1.63,-0.4,-0.38,0.43,-0.22,1.8,2.53,1.38,1.3,2.19,2.22
2005,1,1.38,1.51,0.68,-1.05,-0.06,1.43,0.74,0.99,-0.45,0.28,2.14,1.4,2.05
2005,2,0.6,1.29,1.13,2.43,1.77,0.52,0.97,0.96,-0.64,-1.13,0.9,-0.29,0.21
2005,3,-0.25,2.26,0.42,-0.93,-0.56,1.47,2.1,0.87,1.84,1.37,-0.49,1.15,2.81
2005,4,0.85,3.55,3.13,0.14,2.76,3.28,0.27,1.91,-0.16,-1.15,-0.98,-0.27,0.74
2006,1,-0.57,1.25,0.95,2.34,2.56,3.52,-0.97,-0.44,-0.86,-1.39,-0.02,-0.29,0.33
2006,2,-0.1,1.36,0.03,0.71,0,0.93,1.38,0.67,-1.48,-0.1,0.63,-0.22,0.27
2006,3,0.79,-1.21,3.27,-1.22,0.99,-0.53,-1.22,-0.81,-0.36,-1.63,0.57,-0.25,-1.03
